sim_nr,κ_upper,λ,ω,ϵ,α_cp,p_f,prog
5626,0.0153213637974806,0.12094811085698623,0.9460515087864316,0.0015619989325775501,0.6675753590892174,0.10553385117390698,0.4284309503744812
5627,0.04701227622141291,0.5149149019692075,0.17398104976924436,0.0329589992947143,0.620210466066577,0.011358847515086944,0.8400646555100659
5628,0.04789551994442939,0.6709952938197851,0.5206395562945062,0.08995984431412392,0.6693923227125852,0.43642563064936285,0.625272662556263
5629,0.0023432929170829515,0.7706476036254432,0.30128835210318644,0.08062650882325961,0.719082294255542,0.6597518606803037,0.9233862529337253
5630,0.03010793220103475,0.3566524214005386,0.05462168962279213,0.0589418958621507,0.656364866689237,0.6314319487629906,-0.4523150551671171
5631,0.04783204520914837,0.944215503359634,0.5602491288270565,0.027682604946984768,0.7618775684045938,0.29779729253370635,-0.36973672101048993
5632,0.013974450751724106,0.9963914615498431,0.532745247337459,0.06052174992127749,0.8412107865962761,0.12603166163426552,0.9000170287507936
5633,0.011349828763874057,0.634160544916181,0.33693573053525777,0.0678923607716404,0.9136476336474034,0.7313461313800738,-0.2103868307746234
5634,0.005943545504339458,0.21161388602924552,0.485620152792127,0.05150368912777967,0.7310000060309697,0.2146643971221924,0.12410093621082718
5635,0.013594298558235643,0.8619016523964912,0.166659125469721,0.053873073568517504,0.9046311898755425,0.7452456599866188,-0.11781927403065706
5636,0.015091246417488652,0.8563460786588943,0.6831144467945967,0.07549852291881563,0.6965870754224399,0.634994381923612,-0.09408233452328874
5637,0.039914960445667114,0.035952972133700356,0.4311486314563848,0.039529038445607026,0.9128715927251152,0.8115031330500916,0.803792223602215
5638,0.027728497291714106,0.5369613098067322,0.0018888709599534704,0.04444449266777756,0.8969323979207476,0.6527290104812979,0.5030710772840068
5639,0.02639614209409495,0.6046251321115604,0.26420559218755746,0.08171711956448616,0.7206393983423078,0.4700371542541029,-0.782319462401981
5640,0.004868057198760951,0.12262341843124652,0.5144171649267475,0.014882394542704281,0.6946813458859175,0.022286898121561004,0.45459753416936466
5641,0.018853901071816993,0.9094231971011004,0.41303396922775054,0.06677275723402885,0.6846229113821981,0.0945903858443195,0.6013421537897483
5642,0.042095478285948305,0.02509451394955728,0.8296630794923784,0.070963478546711,0.9943956965511505,0.9280783689615362,0.5583334410336103
5643,0.02503564702572374,0.049292279741376496,0.6903797909611847,0.09497403924484918,0.7430189866910287,0.3053566523429775,0.4192656135878825
5644,0.025686346249380418,0.3189492841194445,0.3282613554846276,0.03399033956934976,0.7911891001052789,0.05147444610388886,-0.24683168846788084
5645,0.04507538580437584,0.06860147466849148,0.9868587938266441,0.013109856887075805,0.6697650510481614,0.614428398895406,0.251087507909008
5646,0.0183089519009135,0.4595531050544219,0.5043843710386267,0.05626592803968527,0.6404715108900086,0.5332348712191006,0.09886975436910084
5647,0.009883120403057555,0.15286571514745342,0.31407998842291024,0.0007657053927250144,0.7604560332606315,0.8793026430291843,-0.3580804141100592
5648,0.04975874824451314,0.28800228795003224,0.912111385972938,0.04803376354491253,0.6101486778922052,0.2583024288089219,0.997076002583895
5649,0.036104891048299205,0.18415631634515708,0.4526009352700255,0.09038565373903606,0.9600576712701127,0.8375517658640356,0.639203557770903
5650,0.03142875829135997,0.2756679602388039,0.8718632844452276,0.004768213104109414,0.7722522505386761,0.5299772584506715,-0.868881749949305
5651,0.02932262004406133,0.6546933639438125,0.8155853566718938,0.042441884449561804,0.6814843398952077,0.8668192429455297,-0.5251541697623385
5652,0.009649938975439674,0.7016756497966973,0.7870440095016401,0.009613833960901241,0.7339764347710838,0.851360171248324,-0.9095568871378156
5653,0.04966012329401184,0.6310618091158785,0.7450716487025115,0.0825251805899671,0.8858151477563254,0.7281246930641616,0.8382611360332897
5654,0.030494097652246976,0.5287743550571253,0.5431621147765212,0.06987323893325974,0.8789911994030205,0.27023889411542973,-0.7353547501233328
5655,0.027678903687101776,0.3631522825463042,0.1392814810258868,0.061988907381831264,0.7406841027090523,0.6890170836849762,-0.38382181930743653
5656,0.029835344148690435,0.6217060282522235,0.10122485935395766,0.012490215362840755,0.9278199033988184,0.8018876124879323,-0.5000268813460378
5657,0.007957511050100624,0.5460714107849827,0.942547718953499,0.02192469217278486,0.8180469740589704,0.3656621508130366,0.9302744895292523
5658,0.04679455878148282,0.6302851750355503,0.19585185687677562,0.05833232996606785,0.8525968640472119,0.9703116287039487,-0.32421268326170405
5659,0.012049222841829632,0.03322559346982194,0.9265923898423908,0.07960243819522778,0.7439586487881508,0.8256395850603412,-0.6670033730726946
5660,0.008828662986022789,0.9729677577232287,0.9778775194960193,0.020019649792311762,0.6329884837774968,0.35066635930427736,-0.8351691131381737
5661,0.035555605218018864,0.04154158288360345,0.6340302238559896,0.08622645027016157,0.6385670099084001,0.16633153273935378,0.8675606123238881
5662,0.012197946500226618,0.9902247488902219,0.6989028046636103,0.05199464539049731,0.7926834021268301,0.6135569432355871,-0.28070352525822484
5663,0.04422519432709943,0.324978124032856,0.5766120050347464,0.0843729196281035,0.661413069416277,0.5479713793649783,0.7852735609709474
5664,0.03486928999601325,0.5778683026212186,0.43824082506376383,0.017691921836353288,0.9381578174424894,0.8415475002435602,-0.00569461734075416
5665,0.0019361532700474774,0.08607923594385092,0.442215118301879,0.07220895648480903,0.6669802310115653,0.3204327098302834,-0.8160589606846986
5666,0.04376914596848793,0.5955319189908731,0.45366852322927215,0.08469937922282653,0.820603678061106,0.6263069419312346,0.7994849660721397
5667,0.0007205596865826457,0.14027009014552627,0.4067455085503495,0.0415511791723504,0.7500190975545274,0.8050906400123162,0.6964421919534678
5668,0.04694366357136711,0.9028604364306005,0.0055877971753347825,0.08073388121850389,0.94219540479791,0.6204908258935178,-0.15216089592898374
5669,0.04813725187606333,0.2949614565631604,0.7785580011238854,0.05759622827940404,0.923433430056215,0.6293104930771916,-0.786215068224017
5670,0.025514660505093902,0.7924962635087728,0.7161726498706398,0.07232988064268041,0.7053964380069512,0.37407827338585525,0.7273229981736655
5671,0.04196317995086723,0.344369787298476,0.6202235831646689,0.014021111161640823,0.8199145848949219,0.7010849099436383,-0.573587272620327
5672,0.04736782250443669,0.5532705816256612,0.07657757434048652,0.0668974160060594,0.9077612928345218,0.3334904229780599,-0.39615336256157585
5673,0.023115017292217755,0.7088172659455234,0.9379813885763322,0.020799827151330098,0.7588535002460154,0.32859278910007444,-0.9767916501098459
5674,0.026900816823009016,0.8085957191084209,0.8592893326155274,0.044620710180680735,0.7041301211116046,0.007753797232113498,-0.3183477570672867
5675,0.029015517920101538,0.04747833309110643,0.5226470996891195,0.03158088955324324,0.9243738552522802,0.3011086752522034,-0.0778762520029953
5676,0.03283234476273141,0.6768534368644973,0.9109093436974508,0.01816392225676454,0.6958536379190293,0.7417310520825754,0.5993837514982121
