sim_nr,ψ_E,μ1,κ_upper,ω,ϵ,α_cp,p_f,prog
5001,0.06875058134082879,0.25808156933526855,0.045166457360469606,0.8864943991465564,0.01108299449789861,0.5308441456565376,0.7366790553781655,-0.4736896517168435
5002,0.008283955522769419,0.36712936368657856,0.017473160801144475,0.5457157545542672,0.09511679721683983,0.5377573974611413,0.4935359927225214,0.5889622333733848
5003,0.026389929079358884,0.2414265310817239,0.03373736943636104,0.2649072608094317,0.030187837459720077,0.739760710577863,0.29540756166678656,-0.24144770833499918
5004,0.024166389997324237,0.2605852925137518,0.03955886394917074,0.46938799345284976,0.02660995158793939,0.6344713530661492,0.1757341050990224,-0.32798159628919266
5005,0.009798271299539564,0.46694949000002006,0.035662405477809384,0.6539709324712181,0.002268054257833335,0.9840088552016283,0.455343725076358,-0.8865529650924024
5006,0.05555607783791758,0.2536935080654144,0.04623337771988095,0.41318662496951236,0.07347497179677318,0.9806191406869355,0.13219901808488146,-0.703410118617487
5007,0.017593887276349796,0.044666068581406086,0.04246570788201515,0.7589943578141443,0.02284290723284292,0.6111294017445341,0.7645145631436762,0.8920632385729856
5008,0.06701419302449618,0.30968906286034825,0.020361188991988563,0.745430429159851,0.0929458669107497,0.9358263494959986,0.6608429585999634,0.7427090187193517
5009,0.02348806259836293,0.025854274937917872,0.04285904905319436,0.7403828340064537,0.03947263163247837,0.7356712523989904,0.14861399368768607,0.31297984522818156
5010,0.06277748372430261,0.4636745293964544,0.012580252050707896,0.04008549815729327,0.007850024820654848,0.5002627370367317,0.13051553054554343,0.209622316834144
5011,0.06441367818311665,0.4482694093515217,0.024610310549584527,0.34002202175179025,0.038263411420234233,0.5651048130131223,0.1554143984844051,0.5943858169506522
5012,0.050461323460835976,0.22355773471475837,0.016690566955279176,0.5597763095139119,0.044016367430587,0.4963589521585648,0.1651608783465475,0.9716230477576795
5013,0.05358014361448276,0.47194555319313114,0.03475927722434683,0.6914702902816198,0.058832684213410626,0.7228632792117704,0.7289578541636405,0.03339896864547365
