sim_nr,ψ_E,μ1,κ_upper,ω,ϵ,α_cp,p_f
2501,0.045550642725502966,0.1310297601030667,0.0342225025721129,0.3852943645492022,0.05557721466754287,0.421743141630873,0.9448119255356434
2502,0.030935530028853322,0.34344353202871464,0.04646667013354151,0.9761778636504445,0.025464263610329853,0.6018350282497666,0.6197383298627555
2503,0.03417953456236713,0.22947794979192462,0.00022173518239934815,0.8101228842953968,0.09489653372300674,0.5748892698380432,0.4334418177668937
2504,0.06587942849884118,0.20083195351088506,0.00791870570639598,0.5219551299505188,0.04858926988556194,0.43245366691025827,0.8116751108718069
2505,0.03138760800179046,0.13559493290823235,0.035136513260252154,0.5807879444087355,0.05011482444000764,0.7198353709354015,0.10711686143168499
2506,0.034872099814452856,0.08242425444357471,0.011716183965963425,0.22875245253973636,0.0024523783863321584,0.6641284227486692,0.2932636772447996
2507,0.0701132996365742,0.2135448120192792,0.004551610328660032,0.705132619934189,0.05966498264128679,0.828736484709654,0.9566717330108544
2508,0.03826632648478328,0.17964771510377422,0.023138339072692096,0.25107351076677503,0.04197044284498189,0.6303518428609148,0.18824426586407056
2509,0.08810110249575306,0.10648169626900032,0.0495978761776211,0.5980196178930686,0.08126263707678316,0.5831837291652107,0.626553658015372
2510,0.02420652954085112,0.4553489755517879,0.008186485575294368,0.8761644516136355,0.04179544550943075,0.9141996546690332,0.31631859577736876
2511,0.04070973138150934,0.4925927172748533,0.0418301324222254,0.18987611072922106,0.02742401143005877,0.9811458023758639,0.865837668198947
2512,0.09404138783847257,0.3335880358533468,0.0444138895030932,0.24301559221685162,0.09053278583383911,0.5327864220060251,0.6848642177528937
2513,0.06696084066542292,0.04109725563614629,0.01623156518324272,0.6342739272142695,0.040412124130225296,0.6617415462083269,0.5493702316629366
2514,0.0005582400839756499,0.41127413106524957,0.040370530090808356,0.46796176760784064,0.097801716971319,0.824225615716242,0.4192345834050885
2515,0.014300738540424754,0.26866180223754593,0.01086398306037098,0.060429032619770055,0.07758587458045214,0.663265510646567,0.32181203872203323
2516,0.004645795507004206,0.07904953310470185,0.02708612312417157,0.20828261146337076,0.03212967687197683,0.48089269823200653,0.0767542594768724
2517,0.022248363604484823,0.006955540542116532,0.0014343490501693575,0.7159876941752852,0.09580487600145954,0.8634615291755112,0.480025892420595
2518,0.06101745710919877,0.4600249592326715,0.007774488234215553,0.6155559545736169,0.08262460379936921,0.772848811554962,0.8636033300917554
2519,0.010241373514625719,0.08721169623468765,0.02000998317635276,0.03837629590259434,0.02155792748246222,0.6865773590305639,0.3483463975797361
2520,0.019692132647201918,0.35414429121623575,0.030250487347520994,0.19795875276891772,0.07303138749945592,0.6251691931077281,0.6343080917384551
2521,0.03625494886408747,0.17527297698697583,0.022525890658708466,0.3436447408580133,0.06184269689606914,0.9070661926039691,0.8849463392649568
2522,0.09480258942893739,0.4026325373591507,0.02101587759983571,0.6652249284624144,0.0899847250067794,0.7823242613740895,0.018173050095334476
2523,0.08572772629958647,0.4098248208925931,0.02105764677496591,0.7775472998763179,0.08060815834032013,0.8690901363945215,0.777076038920133
2524,0.07373669571041747,0.28564887797651756,0.04941937849808713,0.683127683599331,0.006071535569159106,0.8085251224937183,0.5791314080221446
2525,0.08592263756924588,0.4574851392181212,0.03407897453414893,0.861898419563369,0.03539962797147663,0.7918203283126017,0.12622216480113274
2526,0.09083465009467134,0.2516355660871279,0.01976249300184085,0.9959793210216441,0.0673613119299254,0.4696554672097585,0.2852705763596971
2527,0.048190710117876796,0.3320867992899949,0.0009760885541899123,0.4186778695296927,0.010438455644363943,0.5363134387757202,0.9432461561429962
2528,0.017264891429704114,0.016365016085124744,0.006126683229376078,0.8447797800298468,0.04333457574748063,0.9663537732088773,0.5115890353188765
