sim_nr,μ1,ω,p_f,λ,ϵ_w,ψ_P,ψ_Q,κ_upper,ϵ_μ,prog,ψ_E,α_cp
22981,0.39036099136912317,0.5438357020326147,0.5233901386893626,0.8742605372486029,0.02852843254979225,0.0169994748091405,0.19412564798926538,0.009420481251378877,0.02909000667508965,0.256695031878416,0.1336403871012063,0.76167378640264
22982,0.08041528546601777,0.30110534768433955,0.5134246572464465,0.012622727750572599,0.07357223822934832,0.24144349390997583,0.05602775269058213,0.0017172007231941204,0.0015705752061022519,0.32808851090240587,0.24053151592747188,0.6149534916944689
22983,0.0006312180300850482,0.8446156893833923,0.7024711415118351,0.00850596454150947,0.09410497915475546,0.03713429538304319,0.14436066363854902,0.001141668022996924,0.028767322117840506,-0.3683827089477012,0.10075739040576559,0.6797401609812475
22984,0.1525838708081136,0.08610499543371176,0.0054554266082919795,0.7932701303387845,0.05977212008353353,0.24984189403406368,0.22962336030867733,0.0007370872656816711,0.09236755353125164,0.45987626427841977,0.0885625209409864,0.7293391819169551
22985,0.19931847589497878,0.09306711863444642,0.11604842005076604,0.9345160836737558,0.09334018509282063,0.027447503957692666,0.0009837329583608984,0.006480896347264717,0.044773743227144856,-0.28554884763139954,0.02163255954139728,0.4439368272586693
22986,0.17830697145621624,0.5433498714805297,0.08639234487502119,0.4606033903270709,0.07265496769734335,0.1387889513595958,0.21132601313174512,0.006035268159364273,0.06537309636818549,-0.637541716084695,0.15921747788677343,0.5324082303522084
22987,0.33762640229160085,0.7022275744705616,0.9012272372593784,0.320185114871954,0.0690228491592938,0.09428614915937145,0.15313725578678286,0.007392048330214086,0.09931306421847935,0.31958832765484524,0.2281544577773635,0.9663967301270029
22988,0.2876399321581635,0.4516540329615458,0.6738595381400302,0.15820592848677456,0.0446037809903744,0.1134353177858877,0.018369459330977486,0.006134885085380627,0.017958590955883647,-0.021236239828316572,0.20056486814805283,0.9518869481031477
22989,0.005535437139327819,0.953416420591409,0.5585814674917826,0.04984998277537827,0.09871028321270153,0.20116809772332556,0.021380486412407286,0.0015857562148956987,0.06361528446353512,-0.5331402692831926,0.185395628098937,0.8528678693479634
22990,0.028649812581140053,0.36865535012155093,0.037541192510056096,0.17246972438915872,0.08700190831233136,0.17551062310182972,0.0635925016121704,0.002014517090534873,0.029472155755815743,-0.7340037069738206,0.16551047679751557,0.8359777505181757
22991,0.0577066705002326,0.45798597503595945,0.9100765263401381,0.8779647581089572,0.02641492344496509,0.0894342963149195,0.21491291335108154,0.0030300357671340632,0.05214171567405216,0.05133860004385449,0.22470158945112872,0.9843954369690894
22992,0.03938653778482221,0.16588706569285014,0.062255857658599326,0.9010409913820797,0.08412499092942617,0.21514936714515592,0.02409135192658024,0.006352284121448033,0.06712316102502645,0.6842912464543962,0.07434204804080313,0.5218542775258356
22993,0.09211840728193534,0.8391531736327501,0.3265376295632132,0.23393549300463692,0.06393125568285042,0.0835299465703583,0.01547623420261649,0.001769784055797725,0.04371861010181342,0.5084749500669297,0.11312058552032096,0.48500146141671385
22994,0.47020111408899906,0.7075182751077171,0.8153765967956956,0.8300910018191043,0.032169595675143846,0.13361947473491587,0.13921324327978368,0.005306933237269133,0.09009009848390981,0.8908636863962087,0.09738210644420169,0.6406044813758816
22995,0.04349854490811356,0.019323518228947005,0.5527930313265201,0.4713150588325404,0.09421588023951427,0.04834597273794332,0.09313873803135081,0.008820634357594158,0.007341201343742264,0.8166085024662997,0.02743156416327305,0.6184065482722723
