sim_nr,κ_upper,λ,ω,ϵ,α_cp,p_f,prog
6251,0.0077509883565176066,0.261825857022939,0.147617600449691,0.06467571646826585,0.8317371924656437,0.7898724914377033,0.504910729774283
6252,0.040112610853511574,0.735094775675219,0.33533602140931906,0.062090030736703765,0.8978340253642318,0.6150059041801907,-0.1571070054887117
6253,0.04894722945626231,0.39144673435259836,0.992156818098157,0.05850913215673677,0.6659703955373869,0.3140406994512447,-0.8616657732463207
6254,0.036574398185804595,0.44119645329406537,0.5787867363205385,0.0006139634039916006,0.9354588330342364,0.8262560365739162,0.556835999432528
6255,0.03186404242906681,0.5337862180641405,0.596419317712221,0.01909435462850155,0.8251989164894012,0.9531473107179429,0.3522540274696191
6256,0.005626765123452719,0.4503197358414296,0.6575617548305657,0.011094068359535615,0.6268677552028815,0.08184139631548261,0.5922006912756115
6257,0.0121185619242048,0.4462552263317758,0.3805819733105361,0.04713932458879428,0.69640947381297,0.8793839892485925,0.9871434978832894
6258,0.011455280637894591,0.7670206024214286,0.28563094356947716,0.09420524977110455,0.9048125115136278,0.3101712644148483,0.5227019072486982
6259,0.021727139873122702,0.7983324380441724,0.8771697865449001,0.09170655487861634,0.7710172827985456,0.665744335411377,0.6395079046794567
6260,0.0006044597453492227,0.8438845707347826,0.8223669272458114,0.0442522258286821,0.6642087791121544,0.5512114003140071,-0.3312576068502697
6261,0.006930077770064414,0.8945222877994513,0.9548959747349903,0.07521426795158255,0.7567759645957026,0.13080888411282549,0.6958489247409616
6262,0.04318239294481154,0.026570988977353046,0.01941995589832798,0.08034545359060984,0.8947906524249787,0.6454644089461864,0.41892308864268024
6263,0.04386944685673028,0.7134169876551983,0.09887239551813043,0.07409783064518913,0.9964624071383601,0.8178917669040824,0.9965596129991892
6264,0.02083023187607448,0.13609576949168464,0.9244207630335801,0.012517750742821798,0.6106576035826004,0.7719339568332815,-0.30532985011394387
6265,0.04327136809251715,0.34882577692400835,0.7231276484550377,0.028323113384408783,0.8574132119744475,0.35668537172575127,-0.17427321070992807
6266,0.0007701146754986527,0.5846675729475327,0.5021171848455761,0.09082564015259632,0.7643669669387072,0.7247910391492258,0.09128691496540386
6267,0.004594157139598416,0.4328794997469873,0.6635238666636629,0.0916460448207465,0.9167072626559216,0.27507608350993396,-0.16048123035624162
6268,0.04512134600475772,0.6904236071115182,0.3464111447202458,0.0624898475023596,0.7359332740793174,0.5949393773795215,0.6810819147452538
6269,0.041735672919767236,0.38212132873133403,0.7910703672199264,0.0565957330755469,0.7419801475205504,0.4481296010401408,0.8737397160679756
6270,0.012053820841606395,0.26335657962320935,0.7505795458146302,0.030135944593512612,0.7495823390852967,0.4561799335602275,-0.45798216896613153
6271,0.0400286355311911,0.44168455348630226,0.9978908296953943,0.0811446497615869,0.7734435371146594,0.6113918400531825,-0.0416441674725444
6272,0.00383327736040837,0.07475411051343064,0.8721663100476414,0.008044986630142777,0.7149881445649824,0.4122280511533997,-0.9587075495464816
6273,0.010365577433777591,0.2804212994866321,0.14986126917424974,0.07043442679922177,0.8383027968505298,0.9679242577388634,0.7856633327708324
6274,0.028756122825154842,0.634532001013951,0.9883135107413423,0.08227285939288066,0.9294271349495509,0.33219810425043067,-0.9642050795732928
6275,0.003885717807843889,0.5582835323424734,0.23261998307364487,0.02737653948053131,0.6527014106313219,0.6410203592567773,-0.5025814665903773
6276,0.028958509342597943,0.5255251639162551,0.349090688267122,0.09548794186933067,0.8470348289265446,0.5934790905590338,0.20154701140672704
