sim_nr,ψ_E,μ1,κ_upper,λ,ω,ϵ,α_cp,p_f,prog
1158,0.08550882830010978,0.4124109306873235,0.0033964533048099093,0.6807021025919103,0.37340307301675146,0.03321583374447536,0.9067550834112016,0.2432921130928268,-0.01674869837747195
1159,0.07104802027012501,0.2359637789206182,0.002435896669195374,0.29702638609090015,0.17578658486940435,0.01297609973484318,0.8984529618073462,0.37523688300795105,-0.1552918416165614
1160,0.04095387651175902,0.12604115344492078,0.000645344265671988,0.24444149259455566,0.33659120555573485,0.0015236669512102023,0.6213893029208736,0.5093392676606775,-0.7175894069030901
1161,0.09103818712901542,0.1858961095072068,0.0026473146839785544,0.02415332101201885,6.669363755299299e-5,0.06084372120132939,0.6215278194674988,0.3647812492288132,0.8822048473743385
1162,0.060914761634007365,0.18476909123569157,0.0034777326044571097,0.7138296986292553,0.15241242495233998,0.047671521547829485,0.9094353406827207,0.4806897818218789,0.8534543763380289
1163,0.008066560439030448,0.1624728552462266,0.008347807752389726,0.8471620942725541,0.0800911381969588,0.06908539341647738,0.66851659085266,0.6300427805113874,-0.4314203806571546
1164,0.0804396685847833,0.3615035511621934,0.0055131464731298105,0.4732843725348346,0.36495053307792513,0.005476237671484388,0.8506746433968775,0.9680616011467946,0.42161102013917184
1165,0.09515621068928415,0.07106471634842608,0.0038091432066821485,0.34325098414239985,0.29814873963551786,0.02330238915549608,0.617225017203253,0.29609750921922984,0.9425679773241054
1166,0.09918656507236089,0.3225841434167405,0.00999262824859374,0.6720951773565684,0.8684244062811303,0.026355130950282538,0.9989285133607799,0.49745047875380344,-0.4837645747616576
1167,0.06443768318394777,0.09554710647970903,0.006115667058524253,0.3493770032997063,0.5646053166897599,0.05715336936589813,0.773155938765332,0.5998243582596718,0.3191609175360657
1168,0.023328274561719563,0.4850664674123549,0.002060532042147998,0.07226983426696491,0.5561096938014944,0.039063153222116384,0.9121207854956309,0.5259165026193598,-0.9023733246478636
1169,0.07937623860484627,0.014601528916972572,0.002230469908379833,0.14425319197124403,0.4307214926578614,0.08584764400523814,0.9168471712828807,0.9302044349908359,0.7463903737885951
1170,0.00019185087539102288,0.15926428719525304,7.813587435419088e-6,0.7677374642298868,0.7103436768632073,0.021065899576540995,0.8368054151003501,0.08764311614390105,-0.066210206750138
1171,0.09837821529275931,0.05460548356021259,0.009307799099482194,0.6417169545595776,0.7711723099845937,0.07208163230559216,0.87783762147841,0.8248326261802165,-0.5845222464562003
1172,0.08948197009629899,0.15271674061197768,0.007899141357929266,0.5931364456114049,0.8539112779203452,0.05938998432755738,0.9760696901135804,0.5377831538218093,-0.8855006139777503
1173,0.04858446128742748,0.32962281515375724,0.009772581223356976,0.9522085278369664,0.7516379516915132,0.07189037520964506,0.6989947662039752,0.9817981486623298,-0.3071259440312837
1174,0.04999588003991684,0.15751387197412084,0.009900691273190168,0.7213741236325869,0.8427013133754578,0.040063347805584036,0.7260119809179653,0.20173656638907378,0.005852807248226233
1175,0.01074329507781116,0.22830887108376352,0.004020147974325098,0.8438289754024526,0.3189039972761091,0.0057677949454807646,0.700113838903401,0.7424403662958275,-0.3506861964566401
1176,0.08196692959796575,0.2134402432397764,0.004240257169645555,0.1084753053708154,0.5413904179122767,0.03501054464699111,0.8885002698115656,0.46364000034707636,-0.9438709072139211
1177,0.07805604860079046,0.1961569233871255,0.0006562535304602614,0.5696719897639295,0.14344087533590147,0.04758700853493977,0.681649181066823,0.04555903252373669,-0.8343438970311878
1178,0.0814261922981997,0.06203105255451424,0.006753685390674255,0.7364719975813256,0.9056843101500777,0.0829997823957996,0.7148167007350482,0.10539902226196561,0.9949541235543164
1179,0.03805267649326283,0.06771844359390737,0.0009053419235273577,0.8255813089213994,0.1005103477182303,0.03811435160253295,0.8253369315824248,0.30518319315815345,0.2654372931141209
1180,0.03547048727223875,0.27376558660873757,0.006382172404240429,0.2865134237205525,0.20753621987830057,0.021888617932316598,0.7235927709124329,0.684794017565698,-0.18592163594045663
1181,0.027840904786409215,0.3401418248980601,0.008093411862419533,0.5784618754015894,0.3850562694163166,0.08649143749808413,0.8088460924590216,0.3659271743828667,-0.6578084093659362
1182,0.09702311973437722,0.004792236890886602,0.007422846329471352,0.5752177021621252,0.18492142724078442,0.010261369723312725,0.8742082064665457,0.3072540501941485,0.6600189831879764
1183,0.06364954636635883,0.1408047700360066,0.0014480685646798585,0.08422276368868219,0.2320373132519482,0.05551559869046973,0.6139817894554546,0.6630303709672625,0.1829960607982426
1184,0.04792381301337918,0.002789284797036144,0.009238319268505152,0.9106667562468482,0.2054466059714138,0.043790655269294154,0.6803509504743868,0.2094557407978046,0.6342283514587066
1185,0.08522552130093866,0.12237454794645101,0.0026854227768672184,0.7437044495605033,0.08890729346691434,0.009145717973122611,0.7646759902265725,0.8146419554622751,-0.9044421018263014
1186,0.09977351354222082,0.19889831360165994,0.005266879854149205,0.8398509178902822,0.1816928081384004,0.04133119872142015,0.7075662901468278,0.690589337231194,-0.6922109870333926
1187,0.005551227645597026,0.09871914980386784,0.008429652619158732,0.9753164615581837,0.12783724308701966,0.07106082891766576,0.7793212044712796,0.28668791950273426,-0.8641554516052385
1188,0.06630008375793867,0.4765210013745057,0.007975462232684536,0.8777797963871671,0.23384792755591752,0.010800651919738091,0.6845705962223444,0.2319790350835352,-0.4203138525009489
1189,0.012604380432002543,0.3433910841486158,0.0003762655051113735,0.10948634140102721,0.606603646850539,0.021983268327356247,0.60894219651457,0.3665175499876615,-0.2213137848484148
1190,0.0809127256428066,0.10312284834104554,0.008538318477099792,0.19623306351715575,0.13287239494814404,0.039171533150052826,0.6406476751351076,0.2704074796175162,-0.5541765290845808
1191,0.06803294798956533,0.4827301067058422,0.0070603351190446,0.27216548520578077,0.06660906558218176,0.06237377168063068,0.942138313892655,0.5182396213754369,-0.35866460728095173
1192,0.07855975817822389,0.4861239127572838,0.005243581422768875,0.35632748956079,0.13483696294252545,0.056963260017886944,0.6951687813185385,0.9386903377180429,-0.08869998764427256
1193,0.08992030561052133,0.18172058902545404,0.007568879611923099,0.42330167095747123,0.7363832341189421,0.09894791220096749,0.7052309258377526,0.6785823199457343,-0.29932972018867365
1194,0.011036440191686816,0.3218645614779459,0.0018560326758450113,0.10332307460889216,0.7007792643310724,0.05419640282669316,0.9619586643627214,0.9884514223093337,-0.4917661536697181
1195,0.08838961390871881,0.08897756826174005,0.005401089214710324,0.801393147673683,0.1889722519467628,0.08213879149628267,0.7312240950634394,0.11018070471916616,-0.6464653118710251
1196,0.09686946902112094,0.4880171223754308,0.00570236066891348,0.9528020721156527,0.5863846584083326,0.04331943015493123,0.6582950127074316,0.6664851398468147,0.7637102385883778
1197,0.0797402796565615,0.4188149157169613,0.005122042326761812,0.9549517668561535,0.8303869318328464,0.08074059590232972,0.6247491137625321,0.6272990399078873,0.013592884669936245
1198,0.052891446797474345,0.21706641687740866,0.0053867744080370915,0.7123958748994724,0.5092271017478638,0.07744725817689314,0.8303708688424586,0.39977061938587816,-0.867518381604144
1199,0.05058266726880606,0.15168745702572128,0.0073083954716051626,0.8596392470297471,0.6174453367726691,0.0011697694022135775,0.7582695043736555,0.9494898850544826,-0.23946386090494765
