sim_nr,κ_upper,ω,ϵ,α_cp,p_f,prog
1,0.01673110720370457,0.6071954657816051,0.0047774478661243465,0.42084460804577273,0.612024271635064,0.958733951982492
2,0.025614324365322256,0.7879704889272665,0.018946738572662138,0.9203748285900918,0.26214613215365706,0.06994289601560943
3,0.04301718896538926,0.15607579182216347,0.05389691746233615,0.4073508629287491,0.41069261484664377,-0.01440855716376832
4,0.00587731768662529,0.6133693529115881,0.02538222210760336,0.9719758353164726,0.9421685742928827,0.3925115977233664
5,0.0006251205485663096,0.1776242649588927,0.09346322065367639,0.5313587727641362,0.28130527232643615,-0.9422033970734405
6,0.045252156940667296,0.6231938266129187,0.0003736651522144975,0.6448125772309636,0.14031741658059663,-0.7506199326384853
7,0.02947528610982605,0.9599089662743061,0.0904041991653296,0.40584586639477405,0.8433240514377032,-0.4543432568842729
8,0.010512721504284967,0.6018945450481281,0.06799943790834966,0.9422575771897496,0.4258435969934455,0.49715800871437454
9,0.00862937262132477,0.4234106649542773,0.018803970152086694,0.5986025308539027,0.34215608671142617,-0.31009489426692793
10,0.03440689380624833,0.05309038897027758,0.09870508783445274,0.8816869422663105,0.7237360527077591,0.7849300033215743
11,0.032118406981330734,0.13718370510408492,0.09494599450867897,0.919839874304378,0.4319177496879211,-0.6389732202219311
12,0.017260642278188836,0.5735058231559321,0.09753604343883066,0.9741990495271119,0.6157443457400936,0.20398010947779022
13,0.016304817468035533,0.20789762742099296,0.0925153132869103,0.48929767163559307,0.39179313704266494,-0.28643136456451024
14,0.04880595038942931,0.9688634392375844,0.020825162033415178,0.8656712691077821,0.5488483662631249,-0.5975409741970312
15,0.03791667372320832,0.398522589515789,0.08545708210073945,0.8309747600775088,0.19396878193886075,-0.8823330013614044
16,0.025735218256731834,0.13084415596248045,0.09821121333240243,0.7692059785148326,0.23666655388859303,0.931128861042618
17,0.04847472508879135,0.8181825047521052,0.04868595875474248,0.8425591676008415,0.6419105613289029,0.15338427991531134
18,0.0386080477830182,0.17407842703982787,0.014067751920448325,0.648504132947786,0.1812658871668198,0.3575889005327044
19,0.029917560614586055,0.3044017247564174,0.013809717016520943,0.7662145904008331,0.29837702069478417,-0.37696921585236365
20,0.002274380965966953,0.6608447712843664,0.059565880836084044,0.8711422548503975,0.5182845458459807,-0.9201269493188874
21,7.941446939351216e-5,0.6120801542142462,0.05164880364688046,0.626204104524636,0.4058649526253253,0.6356394083652535
22,0.019680227918512108,0.24589885587441604,0.06763844315815613,0.8565071154159456,0.7736985010115908,-0.8020719669097661
23,0.0013519132042991158,0.7042443161894569,0.07809307503192514,0.499894316467159,0.6242103925579984,0.7170392270549102
24,0.013997281585490498,0.30930129276185425,0.06278399600464894,0.6568559442941058,0.6748988736746714,0.36482114563156
25,0.0018441896246120507,0.7153585172689885,0.045104400312000414,0.8594663361366717,0.9676735385818971,0.874660297767548
26,0.03688636242574125,0.21801385503882884,0.04388865094766598,0.7924775389105192,0.648702539110096,0.11588746006665063
27,0.008454798314420552,0.9820373435300233,0.08194711667613329,0.5882484717609089,0.8791311171250789,0.8311983763015904
28,0.011788498576918792,0.29976949288726285,0.048152214195629824,0.554187730162666,0.770901153650201,0.6420247201212348
29,0.03753200683381364,0.2208943161828528,0.013470629071168683,0.5840005366718667,0.9519011954232838,0.7545609097551009
30,0.04463846979020155,0.3152436858707151,0.011374477782063692,0.9217889919068443,0.8555884580097821,-0.7380536043243594
31,0.04126539804238492,0.8897318723834187,0.08007600387895403,0.9346119603394172,0.7869024127842246,0.05824093735536584
32,0.024006427736829976,0.5158470479578534,0.09243870507527974,0.6745563647195518,0.43423264369654946,0.0845041924673553
33,0.01730674940711308,0.32966243203999196,0.0681414299953192,0.7236379660635692,0.7618848054544539,-0.8700925799825816
34,0.027275459416685213,0.009501032198806459,0.033118298609698255,0.8170104224086392,0.29060226599833916,-0.43442738597058284
35,0.015748646441487907,0.9470761397274727,0.07184198869320915,0.4757144028340273,0.8964999681803975,-0.4401058443292294
36,0.027197731859585697,0.6179991988613455,0.09065902567720778,0.4956902753660384,0.22426955812064475,-0.8003958357078264
37,0.04939355943578768,0.10123737141100612,0.07064487678956839,0.7702655912537213,0.9059423205042231,-0.27714636934589243
38,0.02003861645411263,0.37353834316168305,0.06916607783079319,0.5620545785043972,0.16508633367632022,0.774789805626529
39,0.004831600665557632,0.8755322898944538,0.04349004520953138,0.6205541203023214,0.01228276583224618,0.25366382849327085
40,0.021670971044359957,0.6913227253186769,0.015273267674699964,0.9861655634910483,0.44569286788554174,-0.8883598891880355
41,0.04925389752050192,0.32608690441490523,0.03950095180604185,0.7611116834097551,0.5841606317273612,-0.5146062471888535
42,0.017523022917437837,0.09528188699524667,0.025231952580968414,0.687449259726236,0.6515156385330326,0.6453965808385913
43,0.04405017406174348,0.25081890595560297,0.03753499918909562,0.5787216886577554,0.9996773320489201,-0.997123613108177
44,0.04587655715690277,0.5789876277926923,0.0756407749628144,0.4574962828841551,0.9347849554652706,0.5564415552907875
45,0.028362555342032005,0.5668088416581889,0.09464377779805824,0.5699861028339377,0.36885332271423893,0.5267405816349551
46,0.04436425348821051,0.2917791100754011,0.06395628064482327,0.9247228649351978,0.18018921489013873,-0.5934971844789372
47,0.020779100213831586,0.24383307055242848,0.04604882607764955,0.8015700826503515,0.5470377833763177,-0.9627899954542185
48,0.0348936394120448,0.27331478278931465,0.05247487183615182,0.4385041887835188,0.337563629334871,-0.8657774608699216
49,0.0021248315902038513,0.7213295878546706,0.06611161507102933,0.5478511627641582,0.9901903711910962,0.2971604665323868
50,0.04859145740322697,0.1750827946423524,0.009886438983078304,0.8379883086009638,0.639971313419612,-0.04102631020864611
51,0.007013388707374362,0.0493861384990294,0.0698216517218079,0.6321098932227417,0.11938767799330756,0.41502282811372493
52,0.027048210874093332,0.2761116680961607,0.01840553934386005,0.43785225867388977,0.694997553080255,-0.20928840689239292
53,0.01767446453577067,0.3709940874791802,0.016740825065079356,0.9952761430145272,0.0034895439858529565,0.10782448316972859
54,0.020615775872371192,0.7598875877964686,0.031432514558634876,0.9146173244631723,0.4686842387107472,-0.5003029683242686
55,0.008660840921350122,0.06530810602242659,0.05675717569524635,0.9065190535579373,0.6130580914443395,0.46081675866139493
56,0.00036373756454914397,0.3150094222405618,0.07281300214072413,0.7391229197236906,0.0198988104497788,-0.5704598235733356
57,0.030336516103925876,0.25751149141468316,0.07611949920714967,0.6210448032054615,0.05648775245181312,0.42658046245210635
58,0.03203683808033072,0.5748290730169592,0.023780757445312765,0.5436626372886867,0.8533025080826162,-0.6062860586256226
59,0.04707006643837228,0.14361427019020753,0.05041246675739526,0.9458820264520564,0.8092528515083113,-0.3018304574632902
60,0.040275334842673906,0.429157041218496,0.09825756578246475,0.7159617082834553,0.82794551212815,0.6874000992308866
61,0.043176810094442325,0.7519052661269755,0.01628365755709543,0.5026495658862509,0.33440434185051315,0.6994700535538665
62,0.023038673692206718,0.6201697118556603,0.02612276010796179,0.688385510773746,0.4068116671671718,-0.2541149229423384
63,0.025453408822414866,0.8380150556734001,0.012455810628857512,0.6338764472644492,0.7261265115788149,-0.9932649124249487
64,0.012123282878447515,0.6166136160689086,0.019091274965647026,0.8581951320844431,0.5931660482990359,-0.11992125609842552
65,0.026388339667017827,0.43848145454365106,0.0837466167763703,0.8634961792314308,0.4238226972747231,0.18342787690650253
66,0.03540865430730745,0.7721274490486543,0.01562559455936687,0.46869827156860383,0.7275574133770382,0.17504712383733234
67,0.022815264214229993,0.9723430124506113,0.09701810817188611,0.4238960003964503,0.8920927419801252,-0.07464800555804907
68,0.009584367227744724,0.9312111048613327,0.064349645060693,0.8349139687409375,0.4115707118305096,-0.7360360647221043
69,0.006442333166553591,0.47533564065405515,0.040566982770512315,0.808721413576859,0.962612441277856,-0.9967563188921855
70,0.04674499124891784,0.44035716535569935,0.029790542852139765,0.8517481131205921,0.28937116807134233,0.6341044481547633
71,0.033995938451005174,0.47331161190828713,0.010325772038211535,0.7573923986346878,0.737801985175727,-0.09472322360716501
72,0.015034294815256139,0.3034350313186071,0.07514835307909647,0.9102071305338467,0.5911089172598157,-0.4141110578704056
73,0.03423625371193011,0.24020506114796086,0.048573143093663625,0.7103844341662459,0.6679847958061138,-0.9009107727338375
74,0.015467794130626038,0.4629705212326808,0.03126986867198985,0.7793874367734359,0.1705917001700345,-0.20466470127868486
75,0.04595657414728667,0.41209222624751546,0.0017355917397204987,0.8277886929314291,0.5307113946304186,-0.7448727845025236
76,0.04998207540426358,0.8826856681664133,0.025492750006082344,0.5048471077549586,0.1467455674910761,-0.2723282730047617
77,0.041117261412443255,0.16652898596587343,0.04460900774068215,0.6461495255817671,0.9866467893301692,0.3796014618110892
78,0.008793682991792834,0.18445669341555165,0.0747976812214997,0.8145324739819745,0.3541517594578041,0.7452450691761872
79,0.03346262726886892,0.8525270434984045,0.09292339476868504,0.6141337166941038,0.014393344575627524,0.8586026089931245
80,0.04518441602999825,0.31885004711653275,0.099032850498318,0.8431489869038766,0.7315316529261311,-0.9239894549880168
81,0.008837610141601669,0.8010445481358431,0.03617974540039872,0.9005043800212749,0.8104805347477462,-0.6071676562886
82,0.02149196393922339,0.8244178732217288,0.0010965018890109113,0.6574749319457455,0.8296191812997152,0.8759034092310856
83,0.0060495693748361685,0.8339295862538411,0.0807756288296632,0.5494381740884862,0.8991207948501653,-0.14572398089281902
84,0.022477384661757478,0.949660509632075,0.07954394940558966,0.40842909458263077,0.8932274756374323,-0.9746768684515063
85,0.01097679394643134,0.6405486786440573,0.03645620863486478,0.8960852940154539,0.7209955673652206,0.2436174111877898
86,0.030621332480177267,0.9513741590458255,0.025770033252769272,0.7515371116558658,0.8645663231861166,-0.21201775712994486
87,0.038473058871800976,0.5954391954065084,0.07616180323190769,0.48900631080232926,0.8820940899163188,-0.7246647644973956
88,0.04267681104615441,0.5325247775503663,0.06037007241919939,0.48204991362624716,0.45374539270017633,-0.4022194337925039
89,0.01539016891917634,0.19486682375217276,0.09583474969614611,0.908417332137763,0.2408449872891606,-0.7705839263501978
90,0.020211240731340587,0.1104490781318797,0.02824113607529275,0.9307378521220683,0.2375164789340165,0.5432393553284256
91,0.04533390459199083,0.029246006564761274,0.05129768706846475,0.8857680629926789,0.9267636257049991,-0.8092847442488391
92,0.0430676469664924,0.9128778655613955,0.04992466522193246,0.7888511596766359,0.4594834790742194,-0.10098519797446404
93,0.003537170476867277,0.10727080393067553,0.028569253888552023,0.5749100421802354,0.9966357874187314,0.8493706015084761
94,0.035354847843480815,0.26532569925666405,0.006004297874792373,0.4263832570306462,0.8672234018353442,0.23569794090502394
95,0.039534767376426826,0.6524329992403587,0.02803344479843451,0.9255338307636979,0.6627616392271388,-0.633940462968833
96,0.031182123301156807,0.20311792981768068,0.09333644485166208,0.7198852658319914,0.40276453351921393,0.1492004636119908
97,0.029834914803676102,0.5714004974483768,0.0956196643791623,0.526893274551913,0.5368181436998545,0.799137642554373
98,0.014913641006585357,0.4645804430980689,0.02396095897486169,0.7871157500849753,0.7068429310376072,0.374667770366401
99,0.03484618325935548,0.18678886897816208,0.0939920474215129,0.6403382564889804,0.4419643724353632,-0.1518707051418574
100,0.009652608280097225,0.627374067430298,0.02730024083526121,0.9367088798194889,0.03487450170724027,0.031263873052820745
101,0.006347982788841438,0.8994825537934307,0.02439741180522688,0.9829010497241439,0.8845108629604347,-0.6983105701291621
102,0.03052193913165853,0.6578311992156219,0.06858678728679335,0.5290861253879289,0.6095314359729788,-0.6418233220041041
103,0.04213967687835276,0.04723628685719807,0.08881630678381573,0.7899755622125064,0.9152193254686452,0.08682021623721603
104,0.04468454139921554,0.4812477141422866,0.061460137397522374,0.9950321478025251,0.8334807267253093,-0.5967379734201252
105,0.02965767604021696,0.22587431817053757,0.08250535890238109,0.4450962190075993,0.41923007014469205,0.8372921887400981
106,0.022787048754227456,0.1896140390554558,0.003331033523954297,0.5829303889390854,0.5204476131748086,0.14371766774924244
107,0.00821987319717237,0.848415031016049,0.07843628952699773,0.5243479289653779,0.49633825839315304,-0.48150124473703115
108,0.01185929380478702,0.22398138434179304,0.008447602592430476,0.7989034930744856,0.05273284464932735,0.764479134796459
109,0.005263933191212251,0.3350113006687651,0.0386304740736181,0.6090989042366213,0.5752132404239122,-0.5405279644508939
110,0.007738837385180036,0.47914365809276444,0.008580163568147914,0.8921058693409949,0.5674366687424204,-0.7195152511791644
111,0.03806012218662409,0.4612113676271627,0.06132735139858361,0.6994961333109283,0.6789224556849919,0.7425182213518848
112,0.018639657155325152,0.1001045482430045,0.02029134982674606,0.46784989643044705,0.5739940991585442,0.8818430528612629
113,0.0262255781117623,0.8584766864216595,0.0779722972435299,0.9676595261119264,0.12001990290285992,-0.6146431400879409
114,0.015903312407136716,0.19090030988861167,0.0744487972612351,0.45200227977871277,0.11216704400113064,0.5260106250599517
115,0.03924968105515102,0.28610215169549064,0.05501915775685489,0.9752401523743964,0.09543784179488472,0.8017731126229035
116,0.03681583429824422,0.8868096010170402,0.03535666828449215,0.7763620357155867,0.8032474374954972,0.20158716843943236
117,0.032182450043383784,0.8441834313455029,0.09081782473578502,0.8414746371578894,0.7810060208759216,0.9394848868258501
118,0.0024396383959657338,0.9622448311121002,0.008115167304299677,0.5077576008179349,0.47976079532258165,0.6708235234092776
119,0.016097246262860694,0.3170316934744131,0.05696182699194011,0.8494460278684139,0.06282520633565732,0.9227966434354038
120,0.025060010501730297,0.1489965953377193,0.002708515055146326,0.6369563455514046,0.4842374468932559,0.7334473586503627
121,0.04130641563415354,0.6053135234728152,0.017508237555065028,0.4508217110704346,0.6883766683250766,-0.317879542409678
