p_f,α_cp,κ_upper,μ1,ψ_E,ψ_P,ψ_Q,ω,ϵ
0.027229691241291945,0.4560575815244441,0.024624174680456083,0.2893598874914323,0.003779530228856064,0.3899725815484267,0.27703731634294115,0.19436215084270628,0.038435501675482
0.6356498432449361,0.6450424635932146,0.03494352317687705,0.10237056673183212,0.020517810401515513,0.06299353405891044,0.07418226428800456,0.7634011299526466,0.026666688135969202
0.6970616383809838,0.8157688297001193,0.02574230139993306,0.3542491200129229,0.05637251767550303,0.30652214633235514,0.48347639507950724,0.9317904498980042,0.0848250908246395
0.4772710274323394,0.42620696234981537,0.047699138565907524,0.20630330420523946,0.01638953304245402,0.19915558605668707,0.04241471744156931,0.09570730997576771,0.005351851660174234
0.631943199416946,0.7276061115764345,0.021240170261654513,0.21626711153488265,0.019670939618494154,0.04855548067619798,0.063521374101211,0.9286889064197074,0.009868690848420571
0.547362184290585,0.5132866366405352,0.019020027518453973,0.13565480354776438,0.07073639103927208,0.08605819041142307,0.490373535275786,0.67787624838467,0.020399966605917086
0.6068829909615908,0.4518018794795268,0.03064036582337236,0.36088213173426253,0.09494684942680072,0.4156943853983247,0.4280489272068708,0.4494033618739633,0.02076580770899304
0.6406770129478043,0.47109232750792174,0.022570391544082746,0.3668708157380498,0.013850443195875221,0.2549685559884518,0.3171498256499624,0.3930911451711938,0.04525568234267048
0.25780575662261007,0.6045743165221918,0.03134924949004179,0.29732262938645015,0.09982820425882488,0.47400948842088336,0.4613853843373281,0.03650892851233704,0.08209147057279159
0.5081974258632528,0.7440123361152591,0.0011720491205321824,0.20973331435942175,0.08363886281689126,0.09254997458440521,0.32365983210692806,0.03798315841008327,0.009492220232671496
0.8106518060098663,0.5316913636100128,0.004418959983306219,0.3502759761858396,0.06613000942270962,0.4607362948748989,0.23399279405470266,0.4298252576358355,0.07087827801765004
0.6965249329329213,0.8876609606950465,0.04308461059700963,0.27620138902992875,0.09916025161832405,0.4732558900660491,0.21295861813334455,0.9757394402143214,0.08758058438800426
0.45816917874394475,0.630178716656952,0.013019421357566608,0.12043143755451442,0.010673151898343582,0.27007464734072684,0.3096103526210953,0.7751511749616024,0.05266534713579221
0.31623067518040404,0.4106943139827562,0.03330791663158038,0.1940031217003564,0.02958256416249887,0.38459884749956075,0.007946961513505931,0.28878005038977234,0.08117539337721466
0.6280536770437467,0.641856397484632,0.04616488527710738,0.27707919802982733,0.026502298420143136,0.18791224204418125,0.349155290707184,0.9725759758362983,0.08067232075863051
0.3326847248182912,0.5385282770287919,0.019126956526794834,0.028875729572128785,0.07460287534975225,0.02015466168235733,0.2105442561162218,0.45968858961004955,0.09636195163921674
0.39490192692517423,0.4633107637207416,0.008210798538718292,0.2366957111171006,0.07569165564081447,0.4871472621222007,0.20950018018637892,0.9885853396962744,0.025960997236009933
0.46503029848804955,0.4039142963759976,0.03530665284806288,0.08991236960711749,0.04469351021420254,0.4394341832071565,0.16379445019896594,0.9616442014718732,0.002601331767383145
0.14141009407556143,0.9475770925945698,0.004453406042965059,0.3683946751782248,0.032233660730477974,0.02359389122689998,0.17419572616554835,0.39621049922993795,0.06878037781088114
0.5940259026675998,0.7541595934501018,0.031236851078136597,0.0514968463527947,0.06827335913347393,0.27025398544552304,0.4808106020169591,0.6141607424215263,0.03127191947739575
0.394609774410792,0.99518949039388,0.04999320457845341,0.395016455427987,0.05873975766996756,0.13563797153181814,0.4243660307529648,0.41117449332549927,0.031610945739971225
0.32883803493053637,0.8742477839477949,0.008464206026697214,0.20088025936736395,0.057343787705469634,0.1876561917471535,0.37654153269764157,0.516851202718768,0.05943862751476517
0.5920410936642674,0.7887979884615085,0.019207940292162263,0.35700835123999636,0.04976838654452451,0.3591546363594485,0.4411221283420493,0.9857759899741079,0.09088491227496175
0.6827596079385685,0.9350376790327783,0.02749886964856095,0.3736732533878173,0.08440357820334161,0.18956665229470188,0.09953243252851782,0.30739841950208047,0.009237053742909894
0.12741756834231832,0.9412705558793971,0.04078178571467419,0.26677648682776245,0.04497662616227207,0.0795553434331749,0.3247269399955658,0.21678350646650885,0.04537553640757612
0.7448990294453397,0.5211441147646797,0.004325368018351457,0.36966767550602686,0.09528649926816873,0.2761465451828539,0.1640342128211965,0.10390010971032111,0.033817192034213774
0.15244947387069507,0.6325913319249024,0.03969549834930954,0.08821379452804402,0.0457630293800233,0.48104309129419925,0.03234071423118401,0.6087614433506006,0.06568777441132544
0.5134000843973449,0.4322653968065773,0.01069580711059534,0.38225038251100035,0.013492702555640957,0.13641345456633985,0.28349118786351063,0.27708600077628975,0.06706102441135897
0.5147929018910407,0.5365847262060727,0.030960364223012404,0.3301823756724843,0.06138023739777448,0.425368264700055,0.30139587345595337,0.008036164194799949,0.09270439477013186
0.18197282653707925,0.7083480836923346,0.012033742451615167,0.3073987190340234,0.08638739666651585,0.05284787706175331,0.36022581417249827,0.22834088419332405,0.03172890257157218
