sim_nr,μ1,ω,p_f,λ,ϵ_w,ψ_P,ψ_Q,κ_upper,ϵ_μ,prog,ψ_E,α_cp
10725,0.03812595626563768,0.16696792841321761,0.695353668349503,0.7330478770706272,0.0712155785212711,0.022736652067426234,0.08178056195898263,0.0019639918990629595,0.023496789837027198,-0.6613674708804282,0.007163244564787829,0.5907176240485855
10726,0.01825153594681626,0.7578945075907156,0.8954675574106542,0.519938906504769,0.057046970498737026,0.1873678438724462,0.16058872264868568,0.003401219162851414,0.042999717126912085,0.299486835945866,0.09761413949541123,0.8944404024934536
10727,0.4870425035319507,0.13385361558887465,0.13207824097488324,0.6089044102643636,0.08585671231327652,0.07305124517899689,0.24996017247764063,0.0050023614875083855,0.0637995251831644,0.6216537110783342,0.16043845659526426,0.4529504967844461
10728,0.452940818516616,0.5376825554462714,0.6708351406458579,0.4495323446220121,0.08985718934688067,0.1701921304348361,0.04749183917855694,0.004011926149562338,0.05459192320222228,0.6324908610621098,0.006293119651264162,0.9385388180318541
10729,0.26855283144330794,0.9509735897784857,0.20715820641075106,0.6692366441026161,0.004572620296600324,0.1285457149253143,0.12191927768640345,0.005101958877456987,0.014336159489458787,0.2737408231203453,0.13748799773739126,0.5914684520758408
10730,0.37469310496165553,0.31173810618407877,0.09918863533019347,0.4385180281982432,0.06131085508464265,0.22922913139935414,0.10294488368311952,0.0004371706947377505,0.05302688408491815,0.6433708840812491,0.026250637492252496,0.652768335269704
10731,0.2660653848670326,0.6221156814619068,0.43025333793348686,0.67721984589138,0.06989845872099866,0.08305723825542514,0.11241004709445764,0.009960275193431607,0.028873562132093713,-0.4583710953892154,0.006082496301820504,0.8192312087200164
10732,0.29255134175710906,0.01942340310192409,0.7149397212871913,0.7356699682848377,0.03652997014460977,0.08433760161059962,0.11271144949637801,0.00047285687009014383,0.04561582444350126,-0.9124190069762336,0.2177495507692605,0.9980081466012707
10733,0.22715208329616643,0.27305035230344604,0.030660358496127457,0.2652615102109764,0.0620883573279344,0.14303849227514576,0.1982052804423228,0.00258097485569217,0.018295824741338472,0.6240144263546994,0.19651964439385552,0.9649788905085378
10734,0.2476385258457681,0.016913564273505835,0.019144666642338028,0.5332042491799375,0.08591023917388832,0.15581216702748849,0.15905755238925742,0.009384763204519258,0.03151303470995536,-0.6672728476873027,0.08158559221355059,0.6713071982960785
10735,0.05672011335557116,0.4317275077038248,0.067410644379485,0.4860107786833521,0.030454328761078814,0.1716079388866038,0.014590633254759608,0.0048697416597283305,0.041856834650401326,0.25606163881482624,0.06429949653907878,0.5496561211785853
10736,0.08552394084806837,0.04320455350084637,0.5719190083027565,0.96891586309376,0.030546594299144365,0.11937787025502354,0.12042030241761077,0.0037485863971186725,0.08868256207278334,0.4032793421291161,0.14951557231232623,0.8261651107528485
10737,0.36486028444003366,0.5602538342277428,0.44617776041045293,0.41555854007324927,0.05130053498557742,0.1943929826146647,9.216662106125814e-5,1.9735638017571423e-5,0.015338042950348319,-0.7002922626907313,0.03196490711565602,0.7156364668972519
10738,0.4884651606519073,0.9063508436732972,0.43755089519862445,0.299943049486295,0.05186742470571806,0.1315439753336777,0.1464980262165816,0.0066852045546230265,0.029729047824375313,0.7844117944878066,0.1515261489264963,0.5061170418701286
10739,0.2421672522054845,0.7863177133208634,0.20639059167257903,0.37388668815667286,0.03655478996019951,0.0902385976505977,0.14394301135919088,0.007597098136537241,0.05844904816904886,0.4948047574851344,0.1388693886578582,0.47889816036227734
10740,0.3122417408396254,0.5870247176114087,0.21895950447581572,0.7686239830660082,0.0787581552478671,0.0574288710935418,0.21720357521943098,0.0021986236552976944,0.07948571515034593,0.43045595347619714,0.19559832347242445,0.6455311918502097
10741,0.10848656877695531,0.7824606809798063,0.9172551418756292,0.472772323925279,0.0055530289499966246,0.16229165725212202,0.10244609195413877,0.0014875707766445014,0.09937261612566067,0.03794970055470115,0.1296445535545632,0.9127583281231819
10742,0.3168865224819139,0.9028354482403201,0.6034269290455461,0.64688439862619,0.07337189637351149,0.08811164078398008,0.10648210369970831,0.004033239532144175,0.05868937989359248,0.1939765932306592,0.17660091024838162,0.785685711481013
10743,0.42104023828472303,0.19580474116270022,0.7949054410427719,0.6560952830469841,0.09632777776600639,0.008910243954580914,0.22527196008482564,0.004769500951589157,0.01581941889256473,0.6734855270010989,0.16795268497039728,0.5116334937255289
10744,0.34110296957305364,0.44716905006826474,0.05576994051369025,0.06754215352202157,0.06586666696827975,0.03646388062719164,0.1279549925934029,0.008431303501624474,0.01995025583073093,-0.026303949648352365,0.012508555719841984,0.5618296775386002
