sim_nr,ψ_Q,ψ_E,μ1,κ_upper,ω,ϵ,α_cp,ψ_P,p_f
12501,0.15215324770786617,0.07871177990158253,0.1572663423366248,0.0215633108123895,0.03310236683941599,0.0972732324263855,0.5254340720709259,0.35862946380568916,0.5428765117623652
12502,0.07385652074056963,0.08493032750098023,0.03572947222105612,0.01453300904903458,0.7129675854754494,0.028976321884657177,0.8385446449475351,0.4918129766516987,0.6973036972600851
12503,0.3294201987631223,0.010956630811705413,0.07346521228332195,0.022373375568507547,0.27388656932764394,0.043658940529604014,0.7408498036257946,0.16389194309749638,0.9633807638825485
12504,0.2523470280077615,0.02816655211446217,0.03676042084092027,0.0011769505536497677,0.004352669391161214,0.08999277370071727,0.7770117918808979,0.17417618993622597,0.9078880112302677
12505,0.02378395819538716,0.01759278663080503,0.2657085839873804,0.02755446566554334,0.6432240392556415,0.06717076423712985,0.524102202932711,0.002086676022448887,0.6642715306729509
12506,0.45987967840548527,0.039998467921922715,0.18308099164286806,0.0491178205806392,0.7113001062365408,0.016958914184280968,0.5311712102382987,0.17219340508144831,0.9266014584659995
12507,0.21213319189306112,0.08989570135760967,0.30554289960250425,0.0031594292030403346,0.6040877831192817,0.012127932680347083,0.44057791808397034,0.37325456209575725,0.5197923106997414
12508,0.004078289348371231,0.022034725686251457,0.1501081381224975,0.04643525289197489,0.7481582903432453,0.0015815887265398705,0.865400615944141,0.1841573552889575,0.33965874891866965
12509,0.42360322626314084,0.0022135254240832304,0.3399615559049388,0.00789578599801648,0.07866153764884902,0.032364273783164366,0.4810486089643992,0.08747015207313533,0.7359829197005702
12510,0.25805273640491944,0.09480258539407715,0.05470303562071349,0.03985485061591883,0.9096135565611023,0.06429107860481954,0.6381993559214962,0.2991290976921709,0.6810454505765914
12511,0.05327285830063393,0.09479222039271451,0.3369770700533885,0.003017493904601507,0.19394918265753958,0.06889378945049207,0.6130265437710195,0.3723711332456313,0.8453869894477907
12512,0.35397282946588204,0.06278175921623297,0.2463196502579852,0.04627470902138481,0.556487220801856,0.023149685816261336,0.8743989597544976,0.3847887940268757,0.4674007138721254
