sim_nr,μ1,ω,ϵ,p_f,λ,ψ_P,ψ_Q,κ_upper,prog,ψ_E,α_cp
5629,0.18498115205031784,0.3657575406157755,0.09211785207258806,0.6167152316590396,0.27895317209351156,0.10462625099347829,0.12963947576858417,0.0024077175869995034,-0.2863291070856123,0.12213858419638211,0.7614230810460296
5630,0.09198292396309779,0.6573171698046731,0.055509249679102896,0.9456662806361842,0.1893157224394869,0.021187400940585157,0.08979663577230634,0.006227616134057967,0.7514853770588754,0.06847445101486643,0.5397504153978055
5631,0.03558466881945321,0.2717049257436457,0.011097265119078747,0.37664087677228664,0.5900553994135991,0.1696580033544275,0.14026023071673535,0.009146245486305927,0.5105586078774447,0.11551958937676865,0.940130686417791
5632,0.2568406683910753,0.5664080630715638,0.009169233899978436,0.825582203715976,0.21893963784369425,0.1961311795934087,0.18430913704532728,0.0015022663589080722,-0.9021133247392281,0.171617671776831,0.9160145859169904
5633,0.098424426859132,0.5338469317382987,0.08911700863225736,0.5892415234534681,0.535529406049049,0.12541255321508216,0.010951720183022384,0.001585266386062999,-0.6666789122468207,0.12531633470500464,0.7115982934354368
5634,0.07425425216569793,0.07894827901257258,0.06717914368724641,0.5257345280205611,0.26964667028466427,0.10671050046085744,0.14199091998440475,0.0036738871039599503,0.966711325731092,0.095887783404369,0.6840026221255142
5635,0.1642023568524283,0.5572725556944977,0.057528219667311045,0.4556759813935749,0.17789512794525353,0.12044241079897124,0.03450134495442873,0.009939138966307288,-0.8212628929558651,0.2478746738727274,0.733242422210374
5636,0.48750691501944765,0.7778038894726108,0.03289383765753191,0.37182981728411985,0.8314043352510915,0.07197343255967373,0.11564314889927574,0.007362726971981051,0.8811979794272509,0.054002900216915686,0.7858428294314328
5637,0.4593052672266258,0.9159876251839095,0.09751525685627757,0.505098158961255,0.5957619600643138,0.2042018033431271,0.13584157652447226,0.005240298285582023,-0.7555877046367176,0.14759248383405119,0.42781750544785074
5638,0.11424180487438171,0.1879058067610103,0.018965130089865903,0.2323699379391734,0.9864605038952169,0.24260638880716498,0.05543720397860208,0.009094517997655713,0.3008626261995129,0.2283404462372464,0.7339756792513583
5639,0.3401681551839286,0.6689041819341734,0.08227078634797423,0.03981020509889557,0.29743115822123006,0.11406978797034643,0.062479132093943464,0.001849256940963927,-0.2772052789310345,0.008720539278962184,0.4213863529724911
5640,0.4144346854571769,0.4518789366003059,0.08470749568235351,0.5059631949010006,0.09600224755183943,0.04117773023000774,0.08797143343949039,0.00487279866507735,0.5725275371967544,0.24299346809396621,0.7485460184075936
5641,0.33059205992634894,0.24323087052553977,0.034340174183528686,0.33778307206077085,0.9460537010148217,0.1506229944286976,0.06537888311872732,0.004345762112122501,-0.2690446376012835,0.21839378675347423,0.9249188019885092
5642,0.02276068417602564,0.46258866099464885,0.06411390566977664,0.43036203936918926,0.7895427780198558,0.12996731533623326,0.1519221610349933,0.004071032063689197,-0.42008397266611097,0.2079660838538281,0.9952632833352361
5643,0.2727715967386356,0.006756378808267199,0.05943436887422703,0.14591248940292198,0.929606326406627,0.19889717257224623,0.2233138888486876,0.004904455674791724,-0.6132382953420745,0.048385646582702106,0.5690940612741895
5644,0.44816251023711,0.16541410679932825,0.03293006728784735,0.19130842076036833,0.8970725030150334,0.24097883131404754,0.07652089947904053,0.009123917032945322,-0.4052553723775776,0.2493552490274232,0.9470812994716399
5645,0.33238563411171484,0.2938975841962079,0.04016850374605372,0.22432519600434195,0.7999578575039221,0.0014117280385751493,0.10247925777195907,0.0033052032299204677,-0.5247009639894775,0.01780510082867301,0.7209096634388398
5646,0.13154884322050556,0.5743434208418179,0.05040554850467552,0.7002286918460208,0.26849427579631663,0.20845004280387527,0.07256844701137502,0.00017426659115006284,0.45286435499254885,0.24969659078773124,0.694900605383189
5647,0.13136693950402034,0.24662260959875593,0.0816395039673119,0.11288606330248183,0.1831445647564503,0.014812322862898753,0.043340588806422,0.009045349716282982,-0.10584078343494607,0.1494158280246163,0.5383693927024731
5648,0.4013939742599289,0.14389447203838218,0.04950133909056595,0.7808701875521614,0.39028786788416986,0.1288670499050603,0.0022402318110033544,0.0073913914127196325,-0.2536439858203976,0.05427292723798625,0.5928184469858142
5649,0.11685647014940938,0.5166330778053645,0.022077522900847843,0.9273152657559303,0.0031858807073839794,0.10741174279956046,0.18118732294985207,0.0034109722320915187,0.3804765361244826,0.11598349747719823,0.986188274428385
5650,0.3670370011133728,0.6540353140531919,0.005799969760869789,0.8082645981180357,0.587549172005863,0.020160048120710664,0.03169218481783081,0.007855528184871584,-0.09611920143385244,0.23473799987697885,0.9194835948506045
5651,0.34626956361116606,0.6101665837163704,0.07572855416272829,0.08298933217886652,0.25608849633408864,0.040492333829124,0.161776885151317,0.007085225695895459,0.210917732087605,0.19312815849136938,0.9987014251762355
5652,0.18693651060850808,0.2035425892464499,0.06115213961656573,0.7990829983481808,0.06366934136914801,0.06921872740923077,0.10850485629089625,0.007946365537694747,0.7788996316137664,0.14171327603348352,0.6369375263675087
5653,0.03527065763414892,0.012890525026942767,0.06597797804201484,0.39332889368656665,0.323699960714804,0.16416465294689755,0.16976480633898688,0.0007544404495665238,-0.7068844314250338,0.12154691973711573,0.8013256848034498
5654,0.4211747332356666,0.6535996370098783,0.052718508484724015,0.826410341991107,0.21256076387581052,0.06829898761474609,0.16669343450347646,0.00824028805431832,-0.5220425340776109,0.06770486305970876,0.6238504041096977
5655,0.12940874074405145,0.3100853013977662,0.09130945504333918,0.6491997669338162,0.9212471863299306,0.055318708842557456,0.07968672354969787,0.0004309651766852412,-0.47721333378866626,0.19494353049734012,0.4682240390382152
5656,0.46966832120363255,0.5229042094560683,0.08358142329584124,0.8889704327361546,0.7529884802822213,0.05653503150091402,0.047303020780476816,0.00513855841935461,-0.1007775659265645,0.17209064956258216,0.5332159596568946
5657,0.139226074936128,0.21512724418706844,0.025055911021877483,0.4689626364697686,0.24542911872000264,0.2329838859534258,0.2365158627110038,0.003664320824461337,0.8539159458971017,0.02892648409740563,0.9274537017694678
5658,0.3659617806524578,0.6808314628192974,0.0457485509780185,0.8202825654521493,0.2350718981263496,0.02781613319530697,0.18655382755768699,0.00014360239867293006,-0.09898139375564463,0.1935447604581316,0.8296164523014066
5659,0.3758711513873389,0.8387704933388984,0.04075557308241121,0.5742920547900774,0.3936964464785011,0.23030622507264278,0.17883790306002026,0.0002772983008640729,0.9260955264645481,0.06310093466079389,0.9803268267771277
5660,0.18856817175942184,0.5410041867887726,0.04114081969022454,0.34507530788587265,0.8165079932349129,0.14890160949262854,0.09060499375534582,0.007180324396290524,0.6059136182956482,0.23949997894622266,0.7962662843126382
5661,0.07796862912429046,0.08040700232635872,0.010642305353755863,0.2871264868885071,0.3129074115759319,0.011820483847646484,0.22404717893824794,0.0026418594076958756,0.9633251893273724,0.17884968854223848,0.7201542131922515
5662,0.36325233008552715,0.728001261168616,0.0033304527948332867,0.4607551543789173,0.6476328490041787,0.1479419153635698,0.13346006569756683,0.004202258386300916,0.209173641386468,0.056254289321795485,0.909272600449113
