sim_nr,ψ_E,μ1,κ_upper,ω,ϵ,α_cp,p_f
8126,0.03509973029723897,0.14069118157694294,0.010313647913723028,0.7446826179239049,0.047475843367324244,0.519211621552813,0.4422837917233655
8127,0.05228582102689349,0.17433938086842474,0.014918914299150071,0.6093833995957203,0.011988573074956412,0.578373224668742,0.05585420076421747
8128,0.017231117602321804,0.0008125928572199257,0.0008082770387821483,0.24623330275527275,0.09451067828049364,0.6321341528484603,0.8347441459272186
8129,0.002038583791784953,0.09607529162843885,0.0005550014995065537,0.22270751912635423,0.07906501789528789,0.690805305278889,0.6409967738243908
8130,0.03349771697548919,0.22351289890792855,0.03378812600306823,0.09310203916348876,0.05014383006506229,0.93971815062981,0.48926277250758304
8131,0.08804926077217973,0.22417145162917027,0.042580388841912245,0.7372352409036647,0.05656234781805325,0.4013532071886805,0.9653106125736942
8132,0.004886843892510834,0.4261794957925699,0.03311798591480333,0.9274538617982282,0.05002571407619708,0.4689321265230131,0.4026847495386665
8133,0.06921934410357393,0.46425991366183217,0.03055722736848658,0.4790980615361683,0.03742166227674495,0.6323812523371821,0.7280043871294294
8134,0.015764534352049015,0.24343561804525926,0.016841665849929938,0.5456440984738906,0.052463777328569376,0.7840493615792694,0.5719992463091583
8135,0.04642336799620242,0.045948180005526224,0.020294574217035278,0.7697629180754786,0.037988972112228424,0.6467204195233831,0.17560584527973497
8136,0.08235283467744317,0.23134244347980729,0.027515626311297794,0.39069389832653717,0.016221031942113495,0.9449233254227354,0.6281891655424109
8137,0.020909331549187657,0.2724895873027722,0.04196634001925051,0.8583302825938208,0.0917798790792115,0.6170715316671045,0.4791691324505395
8138,0.07591211003981364,0.42392590310691713,0.036922760014404046,0.699358197900873,0.08956176505142212,0.7517786620126283,0.9101719645670188
8139,0.09168024823600884,0.24259197668173238,0.011990010212887077,0.136444154414641,0.0005910779960001406,0.885958994903226,0.3531039320342405
8140,0.02692564852825574,0.04149622087224382,0.021435525366447498,0.2422669705634467,0.07192952824240754,0.862998513748038,0.8315947863184331
8141,0.045403873293516916,0.16646129082804434,0.015039511779017729,0.3675260974993279,0.03591001015689531,0.40024706361243484,0.4930503502988042
8142,0.002563067411965889,0.0075947239513301625,0.00915201327643091,0.02162402886714909,0.07250802551414905,0.4271281837092371,0.4871927307921897
8143,0.08940976192016464,0.45312602849788775,0.02473554074431307,0.561708053754679,0.0728417373237679,0.5953437521229973,0.8660876781254079
8144,0.030058288456870166,0.033904745708880135,0.03539547587417185,0.7021632623940471,0.0063272001853707065,0.7123706572278303,0.31214423366525396
